case,iterations,time
case7_tplgy,6,4.062856197357178
case9,8,3.9879519939422607
case3_oltc_pst,10,4.051473140716553
case5_db,8,4.004247188568115
case5_dc,9,3.981261968612671
case5_ext,12,3.992326021194458
case14,7,4.061874866485596
case5_sw_nb,0,0.0
frankenstein_00,7,4.0903239250183105
case5_asym,13,3.9861719608306885
case5_pwlc,12,4.126645088195801
case5_gap,21,4.016837120056152
case5_npg,14,4.04024600982666
case5_tnep,76,4.128384113311768
case5_uc,11,4.003022193908691
case30,12,4.01334810256958
case24,19,4.031232833862305
case5_clm,8,3.9978229999542236
case2,0,0.0
case3,9,4.1067118644714355
case5_uc_strg,0,0.0
case5_strg,0,0.0
case3_tnep,0,0.0
case5,12,4.021988868713379
case5_sw,0,0.0
case6,10,4.015446186065674
